Node	Property	Type	Enum_Values	Description	Flags
behavior_questionnaire	mphivf	enum	['Positive', 'Negative', 'Unknown']	HIV status of main female partner	['positive', 'negative']
behavior_questionnaire	hivstat1	enum	['Positive', 'Negative', 'Unknown']	Main male partner status when had unprotected anal sex	['positive', 'negative']
behavior_questionnaire	mphivm	enum	['Positive', 'Negative', 'Unknown']	HIV status of main male partner	['positive', 'negative']
behavior_questionnaire	propexp	enum	['No', 'Yes', "Don't remember", 'Not applicable (HIV infected)']	Took anti-HIV medications to prevent getting infected either beforee being exposed to HIV or following a possible exposure.	['no', 'yes']
behavior_questionnaire	drnk6	enum	['Never', 'Less than monthly', 'Monthly', 'Weekly', 'Daily or almost daily']	Frequency drinking six or more drinks containing alcohol in the past 6 months	['ever', 'never']
behavior_questionnaire	fadrnk	enum	['Never', 'Less than monthly', 'Monthly', 'Weekly', 'Daily or almost daily']	Frequency drinking alcohol in the last 6 months	['ever', 'never']
behavior_questionnaire	smokn	enum	['Yes', 'No', 'Occasionally']	Currently smoking cigarettes	['yes', 'no']
demographic	ethnicity	enum	['Hispanic or Latino', 'Not Hispanic or Latino', 'Unknown', 'Other']	An individual's self-described social and cultural grouping, specifically whether an individual describes themselves as Hispanic or Latino. The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.	['whether']
diagnosis	progression_or_recurrence	enum	['yes', 'no', 'unknown', 'not reported', 'Not Allowed To Collect']	Yes/No/Unknown indicator to identify whether a patient has had a new tumor event after initial treatment.	['yes', 'no', 'yes', 'whether']
diagnosis	prior_treatment	enum	['Yes', 'No', 'Unknown', 'Not Reported', 'Not Allowed To Collect']	A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received before the body specimen was collected.	['yes', 'no', 'yes']
family_history	relative_with_hiv_history	enum	['yes', 'no', 'unknown', 'not reported']	Indicator to signify whether or not an individual's biological relative has been diagnosed with HIV.	['yes', 'no', 'whether']
