Node	Property	Type	Enum_Values	Description	Flags
imaging_report	lung_capacity_decrease	enum	['Yes', 'No', 'Not Reported', 'No, Yes']	reduced lung volumes	['yes', 'no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
imaging_report	post_tb_residuals	enum	['Yes', 'No', 'Not Reported', 'No, Yes']	Post-tuberculosis changes in the lung	['yes', 'no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
imaging_report	bronchial_obstruction	enum	['Yes', 'No', 'Not Reported', 'No, Yes']	bronchial obstruction syndrome disorders	['yes', 'no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
imaging_report	pulmonaryartery_thromboembolism	enum	['Yes', 'No', 'Not Reported']	Thromboembolism Of The Pulmonary Artery detected (yes or no)	['yes', 'no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
imaging_report	accumulation_of_contrast	enum	['No', 'less10-13', 'more30']	More than 30HU of contrast accumulated, less than 10-30HU of contrast accumulated, or no constrast accumulated	['no']
