Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	etvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Intelence (etravirine, TMC-125) (255) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	itf	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used interferon (90) since last visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	elvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used elvitegravir  (284) at visit (added at visit 37)	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	acvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Acyclovir (146) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	rtv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Ritonavir (211) since last visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	itz	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Itraconazole (169) since last visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	vczv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Vfend (Voriconazole) (247) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	neuv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used neupogen (157) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	ftcv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used FTC Emtriva (239) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	cipv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Ciprofloxacin (CIPRO) (153) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	tpvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Tipranavir(Aptivus) (238) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	epzv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Epzicom (ABC/LAM) (254) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	hxuv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Hydroxyurea (207) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	enfv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Fuzeon T20 (233) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	fpv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Fosamprenavir (249) since last visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	efvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Sustiva (220) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	lamv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Lamivudine (3TC) (204) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	cip	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Ciprofloxacin (CIPRO) (153) since last visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	elv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used elvitegravir  (284) since last visit (added at visit 37)	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	rtvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Ritonavir (211) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	istv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Isentress (raltegravir, MK-0518) (264) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	nvp	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Nevirapine (191) since last visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	apv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Amprenavir (219) since last visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	mpl	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used methyl-prednisolone (705) since last visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	amb	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Amphoceterin B (124) since last visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	lpvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Lopinavir (217) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	aztv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used AZT (92) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	ddc	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used ddC (94) since last visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	mon	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Monistat (229) since last visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	cprv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used complera (280) at visit (added at visit 34)	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	pegv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used  pegasys (242) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	evov	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Evotaz  (296) at visit (added at visit 40)	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	neu	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used neupogen (157) since last visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	dps	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Dapsone (113) since last visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	slz	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Selzentry (maraviroc) (265) since last visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	evo	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Evotaz  (296) since last visit (added at visit 40)	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	atpv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Atripla(EFV/TDF/FTC) (262) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	gcvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Ganciclovir (DHPG) (125) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	mepv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Atovaquone (190) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	nfv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Nelfinavir (216) since last visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	trz	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Terazol (230) since last visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	itzv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Itraconazole (169) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	clav	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Clarithromycin (Biaxin) (184) at visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	d4t	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used d4T (159) since last visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	tru	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Truvada (TDF/FTC) (253) since last visit	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
summary_drug_use	rpvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used rilpivirine (276) at visit (added at visit 34)	['no', 'yes']
Node	Property	Type	Enum_Values	Description	Flags
