Field	Description	Type	Options	Codes	Node	Variable	Suffix
SAMPID	Sample ID, GTEx Public Sample ID	string			sample	submitter_id	
SMATSSCR	Autolysis Score	enum	None|Mild|Moderate|Severe	0|1|2|3	sample	autolysis_score	
SMCAT	Category or classifier of a set of responses, indicates the color of the sample collection kit	enum	Aqua Kit:Organ and Tissue donation|Green Kit: Brain donation|Yellow Kit: Skin and Blood donation|Pink Kit: Fresh Frozen Tissue	Aqua Kit: Organ and Tissue Donation|Green Kit: Brain Donation|Yellow Kit: Skin and Blood Donation|Pink Kit: Fresh Frozen Tissue	sample	collection_kit	
SMCENTER	Code for BSS collection site	enum	B1|B1, A1|C1|C1, A1|D1|D1, A1		case	collection_site	
SMMTRLTP	Current material type of the sample as stored at the LDACC	enum	Whole blood|PAXgene Preserved tissue|Fresh skin punch|PAXgene Preserved whole blood|Fresh frozen tissue|Whole Blood Fresh|Pellet frozen cells|Cell Line, Viable	Whole Blood:Whole Blood|Tissue:PAXgene Preserved|Tissue:Fresh Skin Punch|Whole Blood:PAXgene Preserved|Tissue:Fresh Frozen Tissue|Whole Blood:Whole Blood Fresh|Cells:Pellet frozen|Cells:Cell Line, Viable	sample	sample_type	
SMNOTES	Internal notes about the sample generated by the LDACC	string			sample	internal_notes	
SMOMTRLTP	Original material type of the collected sample	enum			sample	biospecimen_type	
SMPTHNTS	Pathology Notes, notes from PRC Report	string			sample	pathology_notes	
SMRIN	RIN Number	decimal			read_group	RIN	
SMSMPSTE	Tissue Location	string			sample	biospecimen_physical_site	
SMSTYP	Indicates whether sample is a tumor or a normal	enum	Normal|Tumor		sample	tissue_type		
SMTSC	Prosector Comments	string			sample	prosector_notes	
SMTSD	Tissue Type, more specific detail of tissue type	enum	Adipose - Subcutaneous|Adipose - Visceral (Omentum)|Adrenal Gland|Artery - Aorta|Artery - Coronary|Artery - Tibial|Bladder|Brain - Amygdala|Brain - Anterior cingulate cortex (BA24)|Brain - Caudate (basal ganglia)|Brain - Cerebellar Hemisphere|Brain - Cerebellum|Brain - Cortex|Brain - Frontal Cortex (BA9)|Brain - Hippocampus|Brain - Hypothalamus|Brain - Nucleus accumbens (basal ganglia)|Brain - Putamen (basal ganglia)|Brain - Spinal cord (cervical c-1)|Brain - Substantia nigra|Breast - Mammary Tissue|Cervix - Ectocervix|Cervix - Endocervix|Colon - Transverse|Esophagus - Mucosa|Esophagus - Muscularis|Fallopian Tube|Heart - Atrial Appendage|Heart - Left Ventricle|Kidney - Cortex|Kidney - Medulla|Liver|Lung|Muscle - Skeletal|Nerve - Tibial|Ovary|Pancreas|Pituitary|Prostate|Skin - Not Sun Exposed (Suprapubic)|Skin - Sun Exposed (Lower leg)|Spleen|Stomach|Testis|Thyroid|Transformed fibroblasts|Uterus|Vagina|Whole Blood		sample	biospecimen_anatomic_site_detail	
SMUBRID	Uberon ID, anatomical location as described by the Uber Anatomy Ontology (UBERON)	string			sample	biospecimen_anatomic_site_uberon_id	
SMUBRTRM	Uberon Term, anatomical location as described by the Uber Anatomy Ontology (UBERON)	string			sample	biospecimen_anatomic_site_uberon_term	
SMNABTCH	Nucleic Acid Isolation Batch ID	string			aliquot	analyte_isolation_batch_id	
SMNABTCHT	Type of nucleic acid isolation batch	string			aliquot	analyte_isolation_method			
SMGEBTCHD	Date of genotype or expression batch	string			aliquot	experiment_date	
SMGEBTCHT	Type of genotype or expression batch	string			aliquot	experimental_strategy	
ANALYTE_TYPE	Analyte Type	enum	DNA|RNA|DNA	DNA:DNA Genomic|RNA:Total RNA|DNA:DNA Somatic	aliquot	analyte_type	
SMFLGRMRK	Additional remarks about flagged samples	string			aliquot	exclusion_criteria	
SMAFRZE	Samples included in the GTEx Analysis Freeze	enum	Exclude|OMNI|RNA-Seq|WES|WGS		read_group	library_strategy	
SMGTC	Name of the genotype gtc file	string			read_group	file_name	
SME2MPRT	End 2 Mapping Rate: the number of End 2 mapped reads divided by the total number of End 1 reads	decimal			read_group_QC	end2_mapping_rate	
SMCHMPRS	Chimeric Pairs: Pairs whose mates map to different genes	integer			read_group_QC	total_chimeric_pairs	
SMNTRART	Intragenic Rate: The fraction of reads that map within genes (within introns or exons)	decimal			read_group_QC	percent_of_intragenic_reads	
SMNUMGPS	Number of Gaps: Number of regions with >=5 bases with zero coverage	integer			read_group_QC	number_of_gaps	
SMMAPRT	Mapping Rate: Ratio of total mapped reads to total reads	decimal			read_group_QC	percent_aligned	
SMEXNCRT	Exonic Rate: The fraction of reads that map within exons	decimal			read_group_QC	percent_aligned_exon	
SM550NRM	5' 50-based normalization: 50 (this number is the value for the transcript end length parameter) refers to the definition of how many bases are considered at the end; this value is the ratio between the coverage at the 5' end and the average coverage of the full transcript, averaged over all transcripts	decimal			read_group_QC	5'_normalization	
SMGNSDTC	Genes Detected: Total number of genes with at least 5 exon mapping reads.	integer			read_group_QC	total_genes_detected	
SMUNMPRT	Unique Rate of Mapped: Unique reads divided by all mapped reads.	decimal			read_group_QC	percent_unique_aligned_among_aligned	
SM350NRM	3' 50-base normalization: the ratio between the coverage at the 3' end and the average coverage of the full transcript, averaged over all transcripts	decimal			read_group_QC	3'_normalization	
SMRDLGTH	Read Length: maximum detected read length found.	integer			read_group_QC	maximun_read_length	
SMMNCPB	Mean Coverage Per Base: Coverage is averaged per base across each transcript, and averaged again across all transcripts.	decimal			read_group_QC	mean_coverage_per_base	
SME1MMRT	End 1 Mismatch Rate: The number of End 1 bases not matching the reference divided by the total number of End 1 bases.	decimal			read_group_QC	percent_end1_mismatch	
SMSFLGTH	Fragment Length StdDev: The fragment length is the distance between the start of an upstream read and the end of the downstream pair mate	integer			read_group_QC	sequence_length_distribution	
SMESTLBS	Estimated library size: Number of expected fragments based on the total reads and duplication rate assuming a Poisson distribution.	integer			read_group_QC	estimated_library_size	
SMMPPD	Mapped: Total number of reads aligned/mapped	integer			read_group_QC	total_aligned_reads	
SMNTERRT	Intergenic Rate: The fraction of reads that map to the genomic space between genes	decimal			read_group_QC	percent_of_intergenic_reads	
