Variable ID	Variable	Description	Type	Units	Minimum	Maximum	Coded values	Comment
phv00169228.v7.p2	SAMPID	Sample ID, GTEx Public Sample ID	string					
phv00169229.v7.p2	SMATSSCR	Autolysis Score	integer, encoded value				0=None	Autolysis The destruction of organism cells or tissues by the organisms' own enzymes or processes.
							1=Mild	
							2=Moderate	
							3=Severe	
phv00169230.v7.p2	SMCAT	Category or classifier of a set of responses, indicates the color of the sample collection kit	string				Aqua Kit: Organ and Tissue Donation	Sample kit collection type Indicates the type and color of the sample kit used in sample collection.
							Green Kit: Brain Donation	
							Yellow Kit: Skin and Blood Donation	
phv00169231.v7.p2	SMCENTER	Code for BSS collection site	string				B1	Coded site or center Indicates the site that enrolled the donor, brain subregions may have more than one site.
							B1, A1	
							C1	
							C1, A1	
							D1	
							D1, A1	
phv00169232.v7.p2	SMMTRLTP	Current material type of the sample as stored at the LDACC	string				Tissue:Fresh Frozen Tissue	Generated at LDACC Indicates the current material type at LDACC.
							Tissue:PAXgene Preserved	
							Whole Blood:PAXgene Preserved	
							Whole Blood:Whole Blood	
phv00169233.v7.p2	SMNOTES	Internal notes about the sample generated by the LDACC	string					Generated at LDACC Provides any notes generated by the LDACC during sample processing.
phv00169234.v7.p2	SMOMTRLTP	Original material type of the collected sample	string				Tissue:Fresh Frozen Tissue	Generated at LDACC Indicates the original material type collected.
							Tissue:Fresh Tissue	
							Whole Blood:Whole Blood	
phv00169235.v7.p2	SMPTHNTS	Pathology Notes, notes from PRC Report	string					Comments from pathological review Any comments the pathologist filling out the PRC form wishes to make concerning the tissue quality.
phv00169236.v7.p2	SMRIN	RIN Number	decimal					Generated at LDACC The RNA Integrity Number, a basic measure of the quality of RNA isolated.
phv00169237.v7.p2	SMSMPSTE	Tissue Location	string					Tissue Location The location on the organ or tissue from which the specimen was collected.
phv00169238.v7.p2	SMSTYP	Indicates whether sample is a tumor or a normal	string				Normal	Generated at LDACC Tumor=cancerous or benign mass, Normal=normal tissue.
							Tumor	
phv00169239.v7.p2	SMTS	Tissue Type, area from which the tissue sample was taken. This is a parent value to SMTSD.	string				Adipose Tissue	Tissue Type The type of Tissue that was collected.
							Adrenal Gland	
							Bladder	
							Blood	
							Blood Vessel	
							Bone Marrow	
							Brain	
							Breast	
							Cervix Uteri	
							Colon	
							Esophagus	
							Fallopian Tube	
							Heart	
							Kidney	
							Liver	
							Lung	
							Muscle	
							Nerve	
							Ovary	
							Pancreas	
							Pituitary	
							Prostate	
							Skin	
							Spleen	
							Stomach	
							Testis	
							Thyroid	
							Uterus	
							Vagina	
phv00169240.v7.p2	SMTSC	Prosector Comments	string					Prosector Comments Any comments the prosector wishes to make concerning this case with respect to tissue collection.
phv00169241.v7.p2	SMTSD	Tissue Type, more specific detail of tissue type	string				Adipose - Subcutaneous	Tissue Type The type of Tissue that was collected on a Donor by Donor basis.
							Adipose - Visceral (Omentum)	
							Adrenal Gland	
							Artery - Aorta	
							Artery - Coronary	
							Artery - Tibial	
							Bladder	
							Brain - Amygdala	
							Brain - Anterior cingulate cortex (BA24)	
							Brain - Caudate (basal ganglia)	
							Brain - Cerebellar Hemisphere	
							Brain - Cerebellum	
							Brain - Cortex	
							Brain - Frontal Cortex (BA9)	
							Brain - Hippocampus	
							Brain - Hypothalamus	
							Brain - Nucleus accumbens (basal ganglia)	
							Brain - Putamen (basal ganglia)	
							Brain - Spinal cord (cervical c-1)	
							Brain - Substantia nigra	
							Breast - Mammary Tissue	
							Cervix - Ectocervix	
							Cervix - Endocervix	
							Colon - Transverse	
							Esophagus - Mucosa	
							Esophagus - Muscularis	
							Fallopian Tube	
							Heart - Atrial Appendage	
							Heart - Left Ventricle	
							Kidney - Cortex	
							Kidney - Medulla	
							Liver	
							Lung	
							Muscle - Skeletal	
							Nerve - Tibial	
							Ovary	
							Pancreas	
							Pituitary	
							Prostate	
							Skin - Not Sun Exposed (Suprapubic)	
							Skin - Sun Exposed (Lower leg)	
							Spleen	
							Stomach	
							Testis	
							Thyroid	
							Transformed fibroblasts	
							Uterus	
							Vagina	
							Whole Blood	
phv00217658.v3.p2	SMUBRID	Uberon ID, anatomical location as described by the Uber Anatomy Ontology (UBERON)	string					Generated at LDACC ID as specified by the Uber Anatomy Ontology (UBERON), http://bioportal.bioontology.org/ontologies/UBERON.
phv00217659.v3.p2	SMUBRTRM	Uberon Term, anatomical location as described by the Uber Anatomy Ontology (UBERON)	string					Generated at LDACC Term as specified by the Uber Anatomy Ontology (UBERON), http://bioportal.bioontology.org/ontologies/UBERON.
