Field	Description	Type	Options	Codes	Node	Variable	suffix
SUBJID	Subject ID, GTEx Public Donor ID	string			case	submitter_id	
COHORT	Cohort	enum	Organ Donor (OPO)|Postmortem|Surgical Donor		case	cohort_id	
SEX	Sex	enum	Male|Female	1|2	demographic	gender	
AGE	Age	integer			demographic	age_range	
RACE	Race	enum	Asian|Black or African American|White|American Indian or Alaska Native|Not Reported|Unknown	1|2|3|4|98|99	demographic	race	
ETHNCTY	Ethnicity	enum	Not Hispanic or Latino|Hispanic or Latino|CEPH|Not Reported|Unknown	0|1|97|98|99	demographic	ethnicity	
HGHT	Height	decimal			exposure	height	
HGHTU	Height Units	string			NA	NA	
WGHT	Weight	decimal			exposure	weight	
WGHTU	Weight Units	string			NA	NA	
BMI	BMI	decimal			exposure	bmi	
INCEXC	Eligible For Study	string			case	eligibility	
TRISCH	Ischemic Time	string			NA	NA	
TRISCHD	Ischemic Time (Minutes)	decimal			body_storage	ischemic_time	
TRCHSTIN	Time of Chest Incision	string			NA	NA	
TRCHSTIND	Time of Chest Incision (Minutes)	decimal			body_storage	chest_incision_time	
TRCCLMP	Time Cross Clamp Applied	string			NA	NA	
TRCCLMPD	Time Cross Clamp Applied (Minutes)	decimal			body_storage	cross_clamp_time	
TRORGNS	Received organ transplant	string			exposure	transplanted_organ	
TRAMP	Amputation	enum	Below the knee amputation|Above the knee amputation		exposure	amputation_type	
TRCRTMP	Core Body Temperature	decimal			death_information	body_temperature	
TRCRTMPU	Core Body Temperature - Units of measurement	string			death_information	body_temperature_scale	
TRCRTMPL	Core Body Temperature - Location of measurment	string			death_information	body_temperature_location	
TRTPTREF	Tissue Recovery Time Point Reference	enum	Actual Death|Cross Clamp Applied|Presumed Death		case	index_time	
TRVNTSR	On ventilator less than 24 hours	string			body_storage	on_ventilator_lt_24h	
TRDNISCH	Total Ischemic time for a donor	decimal			body_storage	total_ischemic_time	
DTHPRNINT	Death Pronounced Interval	string			death_record	pronounced_interval	
DTHTPTREF	Death Time Point Reference	enum	Actual Death|Presumed Death		death_information	death_index_time	
DTHATPSY	Autopsy Performed By Coroner Or ME	enum	No|Yes|Not Reported|Unknown	0|1|98|99	body_storage	performed_autopsy	
DTHRFG	Body Refrigerated	enum	No|Yes|Not Reported|Unknown	0|1|98|99	body_storage	refrigerated_body	
DTHCERT	Death Certificate Available	enum	No|Yes|Not Reported|Unknown	0|1|98|99	death_information	available_death_certificate	
DTHVNT	Donor On A Ventilator Immediately Prior To Death	enum	No|Yes|Not Reported|Unknown	0|1|98|99	death_information	on_ventilator_immediate	
DTHFUCOD	First Underlying Cause Of Death	string			death_information	first_cause_of_death	
DTHHRDY	Hardy Scale	enum	Ventilator Case|Violent and fast death|Fast death of natural causes|Intermediate death|Slow death	0|1|2|3|4	death_information	hardy_scale	
DTHCOD	Immediate Cause Of Death	string			death_information	immediate_cause_of_death	
DTHFUCODDU	Interval Of Onset To Death For First Underlying Cause Unit	string			NA	NA	
DTHFUCODD	Interval Of Onset To Death For First Underlying Cause	integer			death_information	hours_to_death_first_cause	
DTHCODDU	Interval Of Onset To Death For Immediate Cause Unit	string			NA	NA	
DTHCODD	Interval Of Onset To Death For Immediate Cause	integer			death_information	hours_to_death_immediate_cause	
DTHLUCODDU	Interval Of Onset To Death For Last Underlying Cause Unit	string			NA	NA	
DTHLUCODD	Interval Of Onset To Death For Last Underlying Cause	integer			death_information	hours_to_death_last_cause	
DTHLUCOD	Last Underlying Cause Of Death	string			death_information	last_cause_of_death	
DTHMNNR	Manner Of Death	string			death_information	manner_of_death	
DTHRFGDU	Number Of Hours In Refrigeration Unit	string			NA	NA	
DTHRFGD	Number Of Hours In Refrigeration	decimal			body_storage	hours_in_refrigerator	
DTHDTRMN	Person Who Determined Date Time Of Death	string			death_information	determining_person	
DTHPLCE	Place Of Death	string			death_information	place_of_death	
DTHVNTDU	Time Interval On Ventilator Unit	string			NA	NA	
DTHVNTD	Time Interval On Ventilator	integer			death_information	hours_in_ventilator	
DTHWTNS	Witnessed Death	enum	No|Yes|Not Reported|Unknown	0|1|98|99	death_information	witnessed_death	
DTHCLS	Classification of death based on ICD-10 coding	string			NA	NA	
DTHTYP	Specific cause of death based on ICD-10 coding	string			NA	NA	
DTHCAT	Category of death based on ICD-10 coding	string			NA	NA	
DTHICD10	ICD-10 Code for cause of death	string			NA	NA	
LBCMVTAB	CMV Total Ab	enum	Negative|Positive|Indeterminate|Not Performed	0|1|96|97	serology	cmv	
LBEBVGAB	EBV IgG Ab	enum	Negative|Positive|Indeterminate|Not Performed	0|1|96|97	serology	ebv_lgg	
LBEBVMAB	EBV IgM Ab	enum	Negative|Positive|Indeterminate|Not Performed	0|1|96|97	serology	ebv_lgm	
LBHBCABM	HBcAb IgM	enum	Negative|Positive|Indeterminate|Not Performed	0|1|96|97	serology	hbcab_lgm	
LBHBCABT	HBcAb Total	enum	Negative|Positive|Indeterminate|Not Performed	0|1|96|97	serology	hbcab_total	
LBHBSAB	HBsAb	enum	Negative|Positive|Indeterminate|Not Performed	0|1|96|97	serology	hbsab	
LBHBSAG	HBsAg	enum	Negative|Positive|Indeterminate|Not Performed	0|1|96|97	serology	hbsag	
LBHCV1NT	HCV 1 NAT	enum	Negative|Positive|Indeterminate|Not Performed	0|1|96|97	serology	hcv_1nat	
LBHBHCVAB	HCV Ab	enum	Negative|Positive|Indeterminate|Not Performed	0|1|96|97	serology	hcv_ab	
LBHIV1NT	HIV 1 NAT	enum	Negative|Positive|Indeterminate|Not Performed	0|1|96|97	serology	hiv_i	
LBHIVAB	HIV I II Ab	enum	Negative|Positive|Indeterminate|Not Performed	0|1|96|97	serology	hiv_i_ii	
LBHIVO	HIV I II Plus O Antibody	enum	Negative|Positive|Indeterminate|Not Performed	0|1|96|97	serology	hiv_i_ii_plus	
LBPRRVDRL	PRR VDRL	enum	Negative|Positive|Indeterminate|Not Performed	0|1|96|97	serology	prr_vdrl	
LBRPR	RPR	enum	Negative|Positive|Indeterminate|Not Performed	0|1|96|97	serology	rpr	
MHABNWBC	Abnormal Wbc	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	abnormal_wbc_history	
MHALS	Amyotropic Lateral Sclerosis	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	als_history	
MHALZDMT	Alzheimer's OR Dementia	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	alzheimer_or_dementia_history	
MHALZHMR	Alzheimer's	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	alzheimer_history	
MHARTHTS	Arthritis	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	arthritis_history	
MHASCITES	Ascites	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	ascites_history	
MHASTHMA	Asthma	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	asthma_history	
MHBCTINF	Bacterial Infections (including septicemia (bacteria in the blood), meningococcal disease, staphylococcal infection, streptococcus, sepsis)	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	bacterial_infections_history	
MHBLDDND	Past Blood Donations Denied	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	denied_blood_donation	
MHBLDDNDR	Blood Donation Denial Reason	string			primary_history	denied_blood_donation_reason	
MHBLDOCNT	Received Blood Transfusion In Another Country	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	foreign_blood_transfusion	
MHCANCER5	Cancer Diagnosis 5y	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	five_years_diagnosed_cancer	
MHCANCERC	Current Diagnosis Of Cancer	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	current_diagnosed_cancer	
MHCANCERNM	History Of Non Metastatic Cancer	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	diagnosed_metastatic_cancer	
MHCLLULTS	Cellulites	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	cellulites_history	
MHCLRD	Chronic Lower Respiratory Disease	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	clrd_history	
MHCOCAINE5	Cocaine Use In 5y	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	five_years_used_cocaine	
MHCOPD	Chronic Respiratory Disease (Chronic Obstructive Pulmonary Syndrome (COPD) OR Chronic Lower Respiratory Disease (CLRD) (chronic bronchitis, emphysema, asthma))	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	copd_clrd_history	
MHCOUGHU	Unexplained Cough	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	persistent_cough_history	
